Player ID,Player Name,Team,Team Short,Role,Batting Style,Bowling Style
df5ab4f7-7d1e-4a34-86bd-799020c283f7,"Sarthak Ranjan","Kolkata Knight Riders",KKR,Batsman,"Right Handed Bat","Right-arm offbreak"
ef2e9c01-41f2-4349-a945-45d8b11dbd19,"Sunil Narine","Kolkata Knight Riders",KKR,Bowling Allrounder,"Left Handed Bat","Right-arm offbreak"
c8108a73-20ef-4bd6-a211-416b8f535693,"Tejasvi Dahiya","Kolkata Knight Riders",KKR,WK-Batsman,"Right Handed Bat","Right-arm offbreak"
812fc568-a932-4f29-a1c4-b7c929e6a248,"Tim Seifert","Kolkata Knight Riders",KKR,WK-Batsman,"Right Handed Bat",""
b367db88-a73e-445f-8cdd-3f6335617b07,"Umran Malik","Kolkata Knight Riders",KKR,Bowler,"Right Handed Bat","Right-arm fast"
82de5824-b29b-4737-9e9d-44f5796ef227,"Vaibhav Arora","Kolkata Knight Riders",KKR,Bowler,"Right Handed Bat","Right-arm fast-medium"
702254aa-2764-4fe4-b28e-20336a0ab069,"Varun Chakaravarthy","Kolkata Knight Riders",KKR,Bowler,"Right Handed Bat","Right-arm legbreak"
dd665f5d-04e8-436b-b376-8fd2a9b8bf8a,"Abdul Samad","Lucknow Super Giants",LSG,Batting Allrounder,"Right Handed Bat","Right-arm legbreak"
3fef81b0-c1e9-45eb-954f-519f3b33d640,"Aiden Markram","Lucknow Super Giants",LSG,Batsman,"Right Handed Bat","Right-arm offbreak"
bda09245-1e64-454b-97d4-61ee7e43cdde,"Akash Maharaj Singh","Lucknow Super Giants",LSG,Bowler,"Right Handed Bat","Left-arm fast-medium"
596d5a37-cb81-417c-b367-8dd0a281431c,"Akshat Raghuwanshi","Lucknow Super Giants",LSG,Batsman,"Right Handed Bat","Right-arm offbreak"
a8c7ce67-5862-4acb-9297-97eafd0ea3d5,"Anrich Nortje","Lucknow Super Giants",LSG,Bowler,"Right Handed Bat","Right-arm fast"
6ceed869-d2b7-4707-b6fd-cb84419cda12,"Arjun Tendulkar","Lucknow Super Giants",LSG,Bowling Allrounder,"Left Handed Bat","Left-arm fast-medium"
eaea0d44-195d-49c6-b76b-987e8d1af290,"Arshin Kulkarni","Lucknow Super Giants",LSG,Batting Allrounder,"Right Handed Bat","Right-arm fast-medium"
332200ad-d1f8-4035-95c5-b33bd1c9a939,"Avesh Khan","Lucknow Super Giants",LSG,Bowler,"Right Handed Bat","Right-arm fast"
151d6979-05d3-4c1f-ae30-0e58af0e8613,"Ayush Badoni","Lucknow Super Giants",LSG,Batting Allrounder,"Right Handed Bat","Right-arm offbreak"
93eaaabd-7529-44cb-a8c7-52acd30ea54e,"Digvesh Singh Rathi","Lucknow Super Giants",LSG,Bowler,"Right Handed Bat","Right-arm legbreak"
0528c7f4-51e4-44d9-b723-cc9eac02a955,"Himmat Singh","Lucknow Super Giants",LSG,Batsman,"Right Handed Bat","Right-arm offbreak"
c040878f-3995-444c-a0f2-10a456f6c84d,"Josh Inglis","Lucknow Super Giants",LSG,WK-Batsman,"Right Handed Bat",""
63075eff-1f66-4bf7-923f-5f92ee123283,"Manimaran Siddharth","Lucknow Super Giants",LSG,Bowler,"Right Handed Bat","Left-arm orthodox"
b7f8b3f5-1759-43fe-914f-d9dc7f4269e2,"Matthew Breetzke","Lucknow Super Giants",LSG,WK-Batsman,"Right Handed Bat",""
95bbca5a-f097-43dc-9a47-bdb85f02fb1a,"Mayank Yadav","Lucknow Super Giants",LSG,Bowler,"Right Handed Bat","Right-arm fast"
6eaac800-13e7-4a07-8ee2-14acd04cc53f,"Mitchell Marsh","Lucknow Super Giants",LSG,Batting Allrounder,"Right Handed Bat","Right-arm fast-medium"
11d06633-aa20-469c-8fbb-676a1ae33eed,"Mohammed Shami","Lucknow Super Giants",LSG,Bowler,"Right Handed Bat","Right-arm fast"
0a4bb087-ec55-4131-89a1-70f14153dbd9,"Mohsin Khan","Lucknow Super Giants",LSG,Bowler,"Left Handed Bat","Left-arm fast-medium"
5f2406ef-f96e-4f60-8529-71d2987ff4e3,"Mukul Choudhary","Lucknow Super Giants",LSG,WK-Batsman,"Right Handed Bat",""
38b89162-6ff2-4a91-841d-b1a43a3694e6,"Naman Tiwari","Lucknow Super Giants",LSG,Bowler,"Left Handed Bat","Left-arm fast-medium"
4e8ab9cd-c5af-430e-887b-d22bf74ad052,"Nicholas Pooran","Lucknow Super Giants",LSG,WK-Batsman,"Left Handed Bat","Right-arm offbreak"
a67a5fef-c1d6-4264-a6a6-c1984489bd36,"Prince Yadav","Lucknow Super Giants",LSG,Bowler,"Right Handed Bat","Right-arm fast"
a52b2d20-7c98-4238-9ba4-ec78419a5cc2,"Rishabh Pant","Lucknow Super Giants",LSG,WK-Batsman,"Left Handed Bat",""
8f4c667c-4bb2-4808-a77b-ebece70f4273,"Shahbaz Ahmed","Lucknow Super Giants",LSG,Bowling Allrounder,"Left Handed Bat","Left-arm orthodox"
ba4ba8aa-3ebb-431a-83a9-a78844a68e26,"Wanindu Hasaranga","Lucknow Super Giants",LSG,Bowling Allrounder,"Right Handed Bat","Right-arm legbreak"
01966983-b69f-4523-9377-11b5c190715f,"AM Ghazanfar","Mumbai Indians",MI,Bowler,"Right Handed Bat","Right-arm offbreak"
af485f9b-d446-41ab-a644-f1a69f0eb600,"Ashwani Kumar","Mumbai Indians",MI,Bowler,"Left Handed Bat","Left-arm fast-medium"
c9361dbc-8a5b-48e0-a5af-c727ec096eb5,"Atharva Ankolekar","Mumbai Indians",MI,Bowling Allrounder,"Left Handed Bat","Left-arm orthodox"
f1dea685-fa68-4339-b582-ba70839e5ca9,"Corbin Bosch","Mumbai Indians",MI,Bowling Allrounder,"Right Handed Bat","Right-arm fast-medium"
0b4a79ad-eeac-4c0f-9682-b20c10d677d1,"Danish Malewar","Mumbai Indians",MI,Bowling Allrounder,"Right Handed Bat","Right-arm legbreak"
237a1ef2-1eae-4877-8b94-d20d84faf635,"Deepak Chahar","Mumbai Indians",MI,Bowler,"Right Handed Bat","Right-arm fast-medium"
a90b2371-5c53-4c29-a382-9b52d40a7548,"Hardik Pandya","Mumbai Indians",MI,Batting Allrounder,"Right Handed Bat","Right-arm fast-medium"
6602d875-cf56-46a3-866c-de80aaa006bc,"Jasprit Bumrah","Mumbai Indians",MI,Bowler,"Right Handed Bat","Right-arm fast"
c06c697c-9575-4bb0-b1f0-27a56a2f3898,"Mayank Markande","Mumbai Indians",MI,Bowler,"Right Handed Bat","Right-arm legbreak"
3c0410d4-dd88-4964-a176-e43c5d622e58,"Mayank Rawat","Mumbai Indians",MI,Batting Allrounder,"Right Handed Bat","Right-arm offbreak"
16ec245b-022d-4104-bd8f-ccc780428390,"Mitchell Santner","Mumbai Indians",MI,Bowling Allrounder,"Left Handed Bat","Left-arm orthodox"
e899c36d-dd74-42f1-9c72-743fea2e23cf,"Mohammed Salahuddin Izhar","Mumbai Indians",MI,Unknown,"",""
71add5ac-55f9-4eb7-9e0c-d51208ae20c0,"Naman Dhir","Mumbai Indians",MI,Batsman,"Right Handed Bat","Right-arm offbreak"
000f9f7c-cc24-4a85-8638-b013b0f4760e,"Quinton de Kock","Mumbai Indians",MI,WK-Batsman,"Left Handed Bat",""
209404f5-0d11-4118-a9d8-086bedcfba2f,"Raghu Sharma","Mumbai Indians",MI,Bowler,"Right Handed Bat",""
b64ccf20-292a-4834-b3d7-9de55187f44a,"Raj Bawa","Mumbai Indians",MI,Batting Allrounder,"Left Handed Bat","Right-arm fast-medium"
21ffa053-b03d-4270-a49f-d3e2db9dfde7,"Robin Minz","Mumbai Indians",MI,WK-Batsman,"Left Handed Bat","Right-arm offbreak"
03bda674-3916-4d64-952e-00a6c19c01e1,"Rohit Sharma","Mumbai Indians",MI,Batsman,"Right Handed Bat","Right-arm offbreak"
a6686871-5bcd-4aae-8bfc-8298f878b6a9,"Ryan Rickelton","Mumbai Indians",MI,WK-Batsman,"Left Handed Bat",""
c1257351-51ca-446f-b7f5-01fe92e75076,"Shardul Thakur","Mumbai Indians",MI,Bowling Allrounder,"Right Handed Bat","Right-arm fast-medium"
c978ce48-495b-4773-89c9-8a64d0257896,"Sherfane Rutherford","Mumbai Indians",MI,Batting Allrounder,"Left Handed Bat","Right-arm fast-medium"
8c579447-bfbd-4cf6-a283-db4dc1d5ac33,"Suryakumar Yadav","Mumbai Indians",MI,Batsman,"Right Handed Bat","Right-arm offbreak"
aefd9074-da5a-408d-94f1-3be0e79d3b82,"Tilak Varma","Mumbai Indians",MI,Batsman,"Left Handed Bat","Right-arm offbreak"
6004fd3f-2264-470d-b39f-340d530b19b3,"Trent Boult","Mumbai Indians",MI,Bowler,"Right Handed Bat","Left-arm fast-medium"
c510fbe6-8a16-47e4-ab60-0965720241af,"Will Jacks","Mumbai Indians",MI,Batting Allrounder,"Right Handed Bat","Right-arm offbreak"
607ff10c-5619-411d-a822-06ba28992230,"Arshdeep Singh","Punjab Kings",PBKS,Bowler,"Left Handed Bat","Left-arm fast-medium"
7c341a4c-d3fa-4054-b95d-f75f94eee00c,"Azmatullah Omarzai","Punjab Kings",PBKS,Bowling Allrounder,"Right Handed Bat","Right-arm fast-medium"
388b664b-de80-4290-ab82-420873293b91,"Ben Dwarshuis","Punjab Kings",PBKS,Bowler,"Left Handed Bat","Left-arm fast-medium"
615b1dc1-8f64-4e26-90c4-04999321fd52,"Cooper Connolly","Punjab Kings",PBKS,Batting Allrounder,"Left Handed Bat","Left-arm orthodox"
56ec7d07-d0d8-4d25-84df-64b0b3ce963d,"Harnoor Singh","Punjab Kings",PBKS,Batsman,"Left Handed Bat","Right-arm legbreak"
e3005322-b01a-4c58-9b26-a2ca150ad1d1,"Harpreet Brar","Punjab Kings",PBKS,Bowler,"Left Handed Bat","Left-arm orthodox"
604d7c88-4f5d-40d9-b08b-330420964d87,"Lockie Ferguson","Punjab Kings",PBKS,Bowler,"Right Handed Bat","Right-arm fast"
d3c53885-7016-4228-8a20-1dd98214489d,"Marco Jansen","Punjab Kings",PBKS,Bowling Allrounder,"Right Handed Bat","Left-arm fast"
11340697-6443-4c3e-ab27-d9d30ba95671,"Marcus Stoinis","Punjab Kings",PBKS,Batting Allrounder,"Right Handed Bat","Right-arm medium"
9c777389-34c2-4c49-a2c6-37a2b5082705,"Mitchell Owen","Punjab Kings",PBKS,Batting Allrounder,"Right Handed Bat","Right-arm medium"
9d412bea-6a7e-4655-8c8b-68f2d9900d98,"Musheer Khan","Punjab Kings",PBKS,Batting Allrounder,"Right Handed Bat","Left-arm orthodox"
9713a0a1-b885-4221-9812-23b0b73c6657,"Nehal Wadhera","Punjab Kings",PBKS,Batsman,"Left Handed Bat","Right-arm legbreak"
a15dfada-704c-42c3-9545-91c332ffca73,"Prabhsimran Singh","Punjab Kings",PBKS,WK-Batsman,"Right Handed Bat",""
11beb0e3-9594-4304-b770-9f65b52a5ff9,"Praveen Dubey","Punjab Kings",PBKS,Bowling Allrounder,"Right Handed Bat","Right-arm legbreak"
4ff68cf3-d3a7-489f-bf37-4ac233f41a15,"Priyansh Arya","Punjab Kings",PBKS,Batsman,"Left Handed Bat","Right-arm offbreak"
0e81bac3-02c3-4219-840a-9b49d937678d,"Pyla Avinash","Punjab Kings",PBKS,Batsman,"Right Handed Bat","Right-arm fast-medium"
9d6cb002-6b9f-4795-a9bf-ea1a6e27ed08,"Shashank Singh","Punjab Kings",PBKS,Batting Allrounder,"Right Handed Bat","Right-arm medium"
77791963-6c1b-4979-b07a-f910dee28cd9,"Shreyas Iyer","Punjab Kings",PBKS,Batsman,"Right Handed Bat","Right-arm legbreak"
c510dc77-7e6b-482c-a96d-73ef9398e969,"Suryansh Shedge","Punjab Kings",PBKS,Batting Allrounder,"Right Handed Bat","Right-arm fast-medium"
eff809fc-9841-4825-a89f-381db15ad0a2,"Vijaykumar Vyshak","Punjab Kings",PBKS,Bowler,"Right Handed Bat","Right-arm medium"
40f4e08a-3cf8-43c0-b3d1-f7c85c575a93,"Vishal Nishad","Punjab Kings",PBKS,Bowling Allrounder,"Right Handed Bat","Right-arm legbreak"
e08d06c3-c7ef-4f44-9152-07023efb020c,"Vishnu Vinod","Punjab Kings",PBKS,WK-Batsman,"Right Handed Bat",""
cba19be9-7aec-4083-ba61-26f0aee31721,"Xavier Bartlett","Punjab Kings",PBKS,Bowler,"Right Handed Bat","Right-arm fast-medium"
f291cb07-d04b-4f71-b9a0-ad1043b76c84,"Yash Thakur","Punjab Kings",PBKS,Bowler,"Right Handed Bat","Right-arm fast-medium"
0d704a13-518a-40a7-bb93-0fc0d92af9e2,"Yuzvendra Chahal","Punjab Kings",PBKS,Bowler,"Right Handed Bat","Right-arm legbreak"
f49539fc-c565-4779-83c1-df3dfdaae171,"Adam Milne","Rajasthan Royals",RR,Bowler,"Right Handed Bat","Right-arm fast"
cc8d32c8-98b5-4dd5-8dda-64f2321eaa97,"Aman Rao Perala","Rajasthan Royals",RR,Unknown,"",""
a0093df7-878e-43b7-a073-8db294d9760c,"Brijesh Sharma","Rajasthan Royals",RR,Unknown,"",""
21d693c2-b4dd-4d24-b747-90dfc8357ef5,"Dhruv Jurel","Rajasthan Royals",RR,WK-Batsman,"Right Handed Bat",""
3f9ced2d-d71a-4478-93db-d7260c7145ee,"Donovan Ferreira","Rajasthan Royals",RR,WK-Batsman,"Right Handed Bat","Right-arm offbreak"
19758cd7-4cce-47d8-b1fe-5975609de802,"Jofra Archer","Rajasthan Royals",RR,Bowler,"Right Handed Bat","Right-arm fast"
b43c2877-2cb4-41f5-951d-bc006eb4f6c0,"Kuldeep Sen","Rajasthan Royals",RR,Bowler,"Right Handed Bat","Right-arm fast"
fa7d13ce-f737-4c8f-bf2c-e6f7b9968940,"Kwena Maphaka","Rajasthan Royals",RR,Bowler,"Left Handed Bat","Left-arm fast-medium"
6346e651-446e-4233-90a2-ae651cbcd75a,"Lhuan-dre Pretorius","Rajasthan Royals",RR,WK-Batsman,"Left Handed Bat",""
